,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,date,iso_code,month_yr
0,79.74148343575507,634.7347343378979,274.6777757157919,15.65338268392053,1.0302721175047589,36.107111519016556,593.9843969361887,0.21600000000000005,8.60574903072555,0.18448746235324825,65.53376411863763,8.826983193506901,6.6890467932301805,4.299840059263947,0.0,0.0,93.93684379519408,38254.0,1032.6373016363245,48.2,1.1440000000000001,18.493,1095.042,77.6,79.37,17.65,0.2,76.1,0.2,84.86,0.6883570501143926,1.722,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,102.0,0.0,0.0,0.0,2021-02-08,ABW,02-2021
1,145.5820036573714,634.5170262027646,276.2479299178126,15.659261369924064,1.0300041397436925,36.1160109063467,593.9606393279655,0.21600000000000005,8.603805897751723,0.1844327087878428,65.62619430117745,8.83891762273825,6.710061542116675,4.292441115019366,0.0,0.0,93.93864769445375,38254.0,1032.9985846500022,48.2,1.1440000000000001,18.493,1095.042,77.6,79.37,17.65,0.2,76.1,0.2,84.86,0.6883514189914116,1.722,0.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,37.0,101.0,0.0,0.0,0.0,2021-02-22,ABW,02-2021
2,3251.4530331775168,652.9153713271821,338.1443838390452,15.346535906708944,1.100479746927494,39.051089800416946,613.8361039582269,0.21600000000000005,9.105364491855317,0.18075990810817405,55.43997050088781,10.252744259571351,7.846563012309772,4.904485037034275,0.0,0.0,93.03499683716387,38254.0,1014.9859853300526,48.2,1.1440000000000001,18.493,1095.042,77.6,79.37,17.65,0.2,76.1,0.2,84.86,0.6886321493631841,1.722,0.0,2.0,15.0,0.0,0.0,7.0,0.0,0.0,65.0,36.0,0.0,0.0,0.0,2021-03-08,ABW,03-2021
3,3220.6089619452505,652.2712414601741,337.5780179176562,15.347425483063397,1.0998973164234795,39.0091332764233,613.7394167331281,0.21600000000000005,9.107813671084592,0.1805580463163922,56.09819556688858,10.273887144270532,7.865764546076082,4.90741616879943,0.0,0.0,93.0360836276119,38254.0,1015.8568185126559,48.2,1.1440000000000001,18.493,1095.042,77.6,79.37,17.65,0.2,76.1,0.2,84.86,0.6886185762333367,1.722,0.0,0.0,14.0,1.0,0.0,7.0,0.0,0.0,66.0,11.0,0.0,0.0,0.0,2021-03-22,ABW,03-2021
4,48104.656054719206,192.59729891874218,1043.0734632175336,2.3839638822788007,0.9584848070263101,41.04949420597081,308.8136360375097,1568.5044666120104,8.908848834733398,0.14591198725723248,298.89123327658194,33.379472063094724,28.93540049973094,7.948530064934957,11922.0,1.057,67.59,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.8791504042401279,1.057,11922.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,74.0,3.0,0.0,0.0,0.0,2021-04-05,ABW,04-2021
5,54437.31495556535,247.62128686295185,1130.7322608740724,2.0185627650807394,0.9281355284900509,38.92910057076684,304.04905709485047,1898.433288902595,10.485277498235483,0.1417535221362209,379.0861985009582,54.27,40.36,13.91,20132.0,1.6159999999999999,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.8791504368102329,1.6159999999999999,20132.0,2.0,5.0,9.0,0.0,9.0,0.0,14.0,96.0,10.0,0.0,0.0,0.0,2021-04-19,ABW,04-2021
6,60082.51739377636,89.81083511478755,1138.1796111500707,2.914548357479985,0.8507501845606926,37.43406464284532,288.92540986131235,1787.8164632445726,7.790847998892318,0.12327449088668535,222.26625451814766,72.51,50.95,21.56,5821.0,0.183,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.8791504192508718,0.183,5821.0,0.0,1.0,14.0,0.0,27.0,0.0,2.0,86.0,8.0,1.0,1.0,0.0,2021-05-03,ABW,05-2021
7,61858.216452429624,159.38933281568504,1191.5198671589028,2.9481045739141045,0.8708218536878374,33.572792777661945,284.4660706343702,2137.122833564439,9.443183284777273,0.12321815032980174,295.1419134863802,84.9,54.05,30.85,12510.0,0.257,51.85,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.8791504532261097,0.257,12510.0,0.0,0.0,12.0,0.0,17.0,0.0,10.0,54.0,7.0,0.0,1.0,0.0,2021-05-17,ABW,05-2021
8,68149.49978670028,186.292064435558,1112.5706410694497,2.928158512176493,0.9920876677447856,33.33889391393572,283.9830199295602,2338.027932975626,8.195694157385045,0.1408478804979477,211.07666413762547,106.49,58.88,47.62,5858.0,0.209,48.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.879150431714389,0.209,5858.0,0.0,0.0,25.0,0.0,9.0,0.0,0.0,52.0,14.0,0.0,7.0,0.0,2021-05-31,ABW,05-2021
9,72260.52138223521,195.18291113804804,1189.7878757623898,3.5224334884138546,1.0608008912067515,23.479271322755046,265.6247548134388,2356.4289621579155,6.99982554922595,0.13989709123232116,203.40679456007325,113.69,61.74,51.95,6446.0,0.267,33.33,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,44.0,7.7,0.2,76.29,0.8791504330986912,0.267,6446.0,0.0,0.0,35.0,0.0,12.0,0.0,4.0,5.0,15.0,1.0,17.0,0.0,2021-06-14,ABW,06-2021
