,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,month_yr
0,85669.85941582944,283.55425588313693,54.8044400364754,0.20183352588392633,0.9497280698980647,0.0,1544.082,3812.141918605347,8.706809192012454,0.0006560422086362705,1437.5608404619973,0.0,89.04,0.0,20955.0,0.0,35.43079785479572,73369171.78865312,7915.731,48.2,1.144,0.526,116935.6,0.1,79.37,17.65,44.0,7.7,13.05,54.69,0.957,1.722,0.0,0.0,0.8800000000000003,0.0,0.0,0.0,0.0,0.0,7.89,91.23,0.0,4.340588235294118,2021-02-08,ABW,02-2021
1,89721.7799540982,310.6679755934362,167.0851312150362,1.1708334647105403,0.9174258786265986,0.0,1544.082,3760.810307786219,8.270505465564032,0.0,1424.1152858619487,0.0,89.04,0.0,20955.0,0.0,35.80128413718825,73367790.52290758,7915.731,48.2,1.144,0.526,116935.6,0.1,79.37,17.65,44.0,7.7,13.05,54.69,0.957,1.722,0.0,0.0,8.44,0.65,0.0,0.0,0.0,0.0,24.03,66.88,0.0,0.0,2021-02-22,ABW,02-2021
2,99547.23881208705,318.41909119227245,238.3743994167005,0.8199474566840688,0.967815395414787,0.0,1544.082,3901.0132745021483,8.98905530629847,0.0,1414.9929630193708,0.0,89.04,0.0,20955.0,0.0,33.46105198068258,73365446.74158876,7915.731,48.2,1.144,0.526,116935.6,0.1,79.37,17.65,44.0,7.7,13.05,54.69,0.957,1.722,0.0,1.6,12.0,0.0,0.0,5.6,0.0,0.0,52.0,28.8,0.0,0.0,2021-03-08,ABW,03-2021
3,103282.72408426992,320.82885276710476,278.34278345334565,1.0222117463323803,0.9517970577366751,0.0,1544.082,3943.204770135565,9.259175312029672,0.0,1412.6568245748763,0.0,89.04,0.0,20955.0,0.0,33.71418462341203,73364323.79303925,7915.731,48.2,1.144,0.526,116935.6,0.1,79.37,17.65,44.0,7.7,13.05,54.69,0.957,1.722,0.0,0.0,14.14,1.01,0.0,7.07,0.0,0.0,66.67,11.11,0.0,0.0,2021-03-22,ABW,03-2021
4,58800.94276411176,220.29543424103173,903.8703884556908,2.368008290406722,1.0107112741099393,0.0,493.3522874644982,1207.7562007410422,6.135748620158123,0.156257565806895,147.13783110153716,35.910602664305216,28.4769259197341,8.10549206760309,11922.0,1.057,67.59,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,1.057,11922.0,0.0,6.52,0.0,0.0,9.78,0.0,0.0,80.43,3.27,0.0,0.0,2021-04-05,ABW,04-2021
5,51080.13381476295,248.21025365973105,897.0082692759001,1.9907583415434043,0.9505798006806759,0.0,496.51827819121536,1205.7321716987017,6.482343136430302,0.14005710468913932,217.75206513207988,54.27,40.36,13.91,20132.0,1.616,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,1.616,20132.0,1.38,3.45,6.21,0.0,6.21,0.0,9.66,66.21,6.88,0.0,0.0,2021-04-19,ABW,04-2021
6,64267.4465170633,109.90858645421145,947.7138536547332,2.357312349864476,0.8678688795729217,0.0,489.3953626085281,1287.9033488713862,2.9861606942495094,0.18156363318152557,124.95911490790647,72.51,50.95,21.56,5821.0,0.183,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.183,5821.0,0.0,0.71,10.0,0.0,19.29,0.0,1.43,61.43,5.72,0.71,0.0,2021-05-03,ABW,05-2021
7,63974.509354114656,153.1874062209955,981.6974654854666,2.6373514105630815,0.8166373533605598,0.0,481.14504223966196,1316.2182576330665,3.788365400100575,0.1715314141871172,164.85734212465866,84.9,54.05,30.85,12510.0,0.257,51.85,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.257,12510.0,0.0,0.0,11.88,0.0,16.83,0.0,9.9,53.47,1.98,0.0,0.0,2021-05-17,ABW,05-2021
8,64931.20440249913,197.16367683553176,1092.412393978915,3.070240025228394,0.9534186209059972,0.0,476.4518983822636,1342.7934639380883,2.665396710513171,0.13973132197310112,78.95956301552675,106.49,58.88,47.62,5858.0,0.209,48.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.209,5858.0,0.0,0.0,23.36,0.0,8.41,0.0,0.0,48.6,2.81,0.0,0.0,2021-05-31,ABW,05-2021
9,67190.29696410685,213.94180957794492,1290.7104284014654,4.161155592312333,0.9788272668014677,0.0,427.208795864939,1036.8489943055229,0.5236034047670701,0.15423597476729212,65.22356465770038,113.69,61.74,51.95,6446.0,0.267,33.33,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.267,6446.0,0.0,0.0,39.33,0.0,13.48,0.0,4.49,5.62,0.0,1.12,0.0,2021-06-14,ABW,06-2021
10,62899.365635095695,183.95452700161104,1063.71018043015,2.4718725935460806,1.3096501209397777,0.0,427.83068201896776,1509.4229547766877,0.7237025899599359,0.10817126013095327,53.4154953549662,126.86,67.31,59.55,1968.0,0.099,28.7,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.099,1968.0,0.0,0.0,2.06,0.0,0.0,0.0,86.6,1.03,0.0,0.0,0.0,2021-07-26,ABW,07-2021
11,64207.672929419416,206.73127631113454,1074.6870259913603,1.9684661871564066,1.2678272820908225,0.0,446.91395677317087,1587.7253819679297,0.6360844982626896,0.10572147951747074,38.01359434150312,130.5,68.22,62.28,1595.0,0.042,23.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.042,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,98.24,0.0,0.0,0.0,0.0,2021-08-09,ABW,08-2021
12,62541.506737275115,241.46161430738698,1036.029226565467,2.088329310805109,1.2281803649715033,0.0,456.1143319484513,1687.4295091789284,2.43948969536925,0.12577888971468715,60.205886611963535,136.44,72.34,64.1,5625.0,0.436,43.52,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,77.6,561.494,11.62,0.2,76.1,0.2,76.29,0.456,0.436,5625.0,0.0,0.0,0.19,0.0,0.0,0.0,98.67,0.0,0.0,0.0,0.0,2021-08-23,ABW,08-2021
