,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,month_yr
0,79.29912792781556,56.330882065350416,16.748718416568973,18347.296875,1.642,65.74,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,1.642,20955.0,75.27,0.0,0.0,0.0,0.0,1.08,0.0,0.0,23.65,0.0,0.0,2020-12-21,AGO,1.722,0.076,12-2020
1,78.89332962786344,55.702178135365386,15.959238293834947,18102.046875,1.642,62.96,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,1.642,20833.035888671875,3.85,0.0,0.0,0.0,0.0,0.0,0.0,5.77,90.38,0.0,0.0,2021-01-25,AGO,2.315,0.093,01-2021
2,79.86408152229279,56.494238893726774,16.452698256266622,18247.796875,1.642,61.11,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,1.642,20955.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,9.52,61.91,0.0,0.0,2021-02-08,AGO,1.191,0.038,02-2021
3,79.58845055225126,56.29850285804311,16.525792444728623,18242.859375,1.642,58.33,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,1.642,20955.0,41.03,0.0,0.0,0.0,0.0,0.0,0.0,2.56,56.41,0.0,0.0,2021-02-22,AGO,0.703,0.025,02-2021
4,0.02,0.02,0.9314928637488329,26.0,0.003,58.33,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.003,26.0,61.06,0.0,0.0,0.0,0.0,0.0,0.0,6.19,32.75,0.0,0.0,2021-03-08,AGO,1.069,0.029,03-2021
5,16.128881277860096,7.2553042631748434,8.889492031015948,161.0,0.016,56.48,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.016,161.0,71.9,0.0,0.0,0.83,0.0,0.83,0.0,9.92,16.52,0.0,0.0,2021-03-22,AGO,1.473,0.038,03-2021
6,16.3419939892305,8.19914663011756,7.960566688152589,187.0,0.019,59.26,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.019,187.0,46.72,0.0,0.73,2.92,0.0,5.11,0.0,23.36,21.16,0.0,0.0,2021-04-05,AGO,2.463,0.038,04-2021
7,1.17,1.17,0.3341482206436446,553.0,0.055,58.33,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.055,553.0,37.35,0.0,0.0,1.2,0.0,2.41,2.41,25.3,31.33,0.0,0.0,2021-04-19,AGO,4.079,0.038,04-2021
8,18.343815618911243,8.765496656304189,9.345160936868933,264.0,0.02,58.33,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.02,264.0,50.0,0.0,0.0,0.0,0.0,0.0,2.94,32.35,14.71,0.0,0.0,2021-05-03,AGO,5.991,0.084,05-2021
9,4.39,2.78,1.61,400.0,0.028,56.94,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.028,400.0,30.51,0.0,0.0,0.0,0.0,0.0,16.95,50.85,1.69,0.0,0.0,2021-06-28,AGO,3.642,0.097,06-2021
10,4.59,2.82,1.77,188.0,0.003,56.94,23.89,16.8,2.405,1.362,5819.495,0.1,276.045,3.94,44.0,7.7,61.15,0.581,0.003,188.0,26.09,0.0,0.0,0.0,0.0,0.0,50.0,19.57,4.34,0.0,0.0,2021-07-12,AGO,3.178,0.101,07-2021
11,0.0,0.0,0.0,0.0,0.0,75.93,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-11,ARE,59.31,0.915,05-2020
12,0.0,0.0,0.0,0.0,0.0,72.22,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-05-25,ARE,87.464,0.343,05-2020
13,0.0,0.0,0.0,0.0,0.0,72.22,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-06-22,ARE,38.134,0.172,06-2020
14,0.0,0.0,0.0,0.0,0.0,56.48,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-07-06,ARE,54.649,0.143,07-2020
15,0.0,0.0,0.0,0.0,0.0,54.63,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.46,0.0,0.0,2020-08-31,ARE,42.166,0.114,08-2020
16,0.0,0.0,0.0,0.0,0.0,54.63,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-28,ARE,92.94,0.114,09-2020
17,0.0,0.0,0.0,0.0,0.0,54.63,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,97.1,0.0,0.0,2020-10-12,ARE,108.096,0.243,10-2020
18,0.0,0.0,0.0,0.0,0.0,54.63,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-10-26,ARE,138.938,0.2,10-2020
19,0.0,0.0,0.0,0.0,0.0,49.07,112.442,34.0,1.144,0.526,67293.483,77.6,317.84,17.26,1.2,37.4,77.97,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,95.52,0.0,0.0,2020-11-23,ARE,121.551,0.286,11-2020
