,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,date,iso_code,month_yr
0,4348.802,26.855999999999998,63.12,0.58,0.79,0.0,110.12181766189724,31.230999999999998,0.134,0.2,5.0,26.010863333973084,13.53286637480134,11.528059497119406,928.0,0.006999999999999999,83.33,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000013,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,0.006999999999999999,928.0,114.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,2021-04-19,BGD,04-2021
1,50229.746,92.344,984.566,0.917,1.01,8.027000000000001,25.889,912.1519999999999,3.677,0.025,39.8,34.69,24.92,9.77,6043.0,0.466,80.56,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,2.96,82.3,0.955,0.466,6043.0,1.0,4.0,0.0,51.0,3.0,20.0,62.0,1690.0,70.0,0.0,0.0,0.0,2021-05-03,IRL,05-2021
2,65514.89599999999,32.728,1875.845,0.159,1.03,1.8330000000000002,13.825999999999999,2243.347,12.602,0.003,385.0,84.09,53.97,30.12,7712.0,0.256,62.5,68207114.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.256,7712.0,61.0,1.0,29.0,33.0,0.0,33.0,4830.0,9202.0,182.0,2.0,0.0,0.0,2021-05-17,GBR,05-2021
3,130533.50873592915,285.5395559768838,1986.339203962401,1.2385050832422824,1.0630796556674096,0.0,117.13725655832809,2290.038906597295,6.315812735511862,0.004155366505930291,91.27119611911313,59.76435069776407,33.115490540262755,27.845934475123222,1612.0,0.062,54.022668741076416,43421.0,1209.088,33.78870397218048,9.765547507299036,7.714452824867649,36327.232,0.1,128.02509569945659,4.8137926972663205,0.2,76.1,0.2,78.95,0.8662111877753488,0.062,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,27.0,0.0,0.0,0.0,0.0,2021-08-23,SXM,08-2021
4,641.164,1.473,15.619000000000002,0.038,1.15,15.281403219648674,0.0,407.6044772107159,2.9041031974588027,0.16101293808073686,74.35181187798146,22.611474212231204,10.210079087503495,10.500508321376024,161.0,0.016,56.48,33933611.0,23.89,16.8,2.405,1.3619999999999999,5819.495,0.1,276.045,3.94,44.0,20.232113194606995,1.5790736566651447,61.15,0.581,0.016,161.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,49.0,0.0,0.0,0.0,2021-03-22,AGO,03-2021
5,60061.755,85.883,5656.814,9.408,0.96,0.0,755.4077412524587,128.988,0.34700000000000003,0.078,12.8,17.91,11.38,6.53,5323.0,0.248,75.93,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,76.1,1.6,76.74,0.777,0.248,5323.0,0.0,0.0,155.0,0.0,0.0,0.0,3.0,0.0,11.0,621.0,5.0,0.0,2021-06-14,PER,06-2021
6,24168.243,465.977,232.701,3.853,1.35,33.46811991213646,192.8523941623855,355.625,3.798,0.12300000000000001,8.1,10.14,10.14,0.46420322147732307,5686.0,0.569,87.04,3485152.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,2.8,77.91,0.8170000000000001,0.569,5686.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2021-03-22,URY,03-2021
7,14862.428999999998,72.71600000000002,1279.964,8.369,0.9,39.5153093161364,232.95748300887453,36.51,0.231,0.315,3.2,0.55,0.49,0.06,47.0,0.001,71.76,130262220.0,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,0.001,47.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,341.0,0.0,0.0,0.0,2021-02-08,MEX,02-2021
8,2884.744,12.722999999999999,41.333999999999996,0.198,0.95,0.0,81.5753977920674,17.29,0.09,0.141,7.1,31.146103808440497,21.938053668784082,8.52764025688474,18541.910744256194,0.15079011438905263,80.09,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000013,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,0.150790029477209,18889.706625295566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2020-12-07,BGD,12-2020
9,42770.596,1055.232,497.795,14.446,1.07,89.88154614386296,911.199,568.087,4.945,0.231,4.3,39.01909054188247,24.731053720603004,24.303790971378568,18117.29089015012,0.1507933973369232,76.85,2689862.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.9890000000001,3.67,21.3,38.0,6.56,75.93,0.882,0.15079328450526708,18952.793755043862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,2020-12-21,LTU,12-2020
