,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,month_yr
0,33269.43317791158,100.73661331361151,432.44418298146866,2.5653915476019638,1.0009867076749828,0.6815187225148733,38.89235045458827,703.6167950554232,2.4926594090153156,0.08606144308108007,248.11584019467898,32.65968832023235,16.688324635855277,15.036082259039631,2826.127247552146,1.722,61.85051365922198,71887333.82073158,942.0569761800607,37.49871739530171,14.19015481824087,8.458567313226931,31252.560065581685,0.1,167.2469885780481,6.459033787926805,11.100293619126475,29.68902229191455,3.3689537174259225,81.01566539327968,0.8205431981688127,1.722,2939.7702773164724,0.0,2.5,0.0,0.0,5.0,0.0,0.0,2.5,90.0,0.0,0.14333333333333334,2021-02-22,SXM,02-2021
1,62104.797,87.339,1829.736,3.38,0.79,19.881,138.9,1240.939,12.958,0.006999999999999999,148.4,34.86,33.12,1.73,5134.0,0.443,82.41,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.443,5134.0,0.2,0.01,0.02,0.04,0.0,0.32,0.01,97.23,2.16,0.01,0.0,2021-03-08,GBR,03-2021
2,378.909,1.506,4.88,0.0,0.85,0.0,0.0,209.365,1.057,0.001,701.7,0.0,0.0,0.0,0.0,0.0,22.22,5122600.0,18.206,37.9,15.322,9.72,36085.843,0.1,128.797,8.08,14.8,17.2,2.61,82.29,0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-10-26,NZL,10-2020
3,53524.732,25.629,1274.098,0.6509999999999999,1.09,3.6389020443361915,270.4722029167924,873.8726657999308,0.391,0.066,15.2,11.36,7.31,4.05,2494.0,0.151,50.93,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,0.779,0.151,2494.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0,2021-07-26,UKR,07-2021
4,1582.3270000000002,0.151,28.069000000000006,0.0,1.1641782664309286,0.0,1338.185,1640.3682155554366,8.686,0.0,1069.3298519738198,59.03,34.8,24.23,8172.0,0.42,65.74,7552800.0,7039.714,44.8,16.303,10.158,56054.92,77.6,79.37,8.33,0.2,37.785198994281686,11.484652214118357,84.86,0.949,0.42,8172.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97,0.0,3.03,0.0,0.0,2021-07-12,HKG,07-2021
5,475.1880000000001,15.34,5.0310000000000015,0.303,1.1581806564627333,0.0,1338.185,584.0941010593168,2.193,0.0,975.1063520902039,0.0,0.0,0.0,0.0,0.0,66.67,7552800.0,7039.714,44.8,16.303,10.158,56054.92,77.6,79.37,8.33,0.2,37.45350365674415,11.497901565793205,84.86,0.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-08-03,HKG,08-2020
6,658.444,2.5980000000000003,11.348,0.065,0.86,24.94199298354956,1067.9702204389077,0.599,0.06,0.043,23.1,0.0,0.0,0.0,0.0,0.0,70.37,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,1.4,66.7,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-14,KEN,09-2020
7,8107.229,68.0,853.3969999999998,0.221,1.38,6.19,27.338,231.621,2.702,0.032,31.2,0.0,0.0,0.0,0.0,0.0,52.78,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-09-14,BEL,09-2020
8,99664.335,36.303,1049.549,0.133,0.83,8.269,11.005999999999998,1899.8169755793265,1.034,0.012067152744161647,256.05361513727223,90.57,57.802224347317605,32.58421060392219,12289.0,0.695,32.41,17173094.0,508.544,43.2,18.779,11.880999999999998,48472.545,0.1,109.361,5.29,24.4,27.3,3.32,82.28,0.944,0.695,12289.0,0.17,0.0,1.06,0.45,0.0,0.11,35.49,60.72,1.1,0.06,0.0,2021-06-28,NLD,06-2021
9,2219.486,20.974,36.791,0.273,1.33,34.201114196749025,1110.4594556569195,106.16627217808309,1.928270153331016,0.04785437726173918,108.2674923592381,26.172691039318572,14.068111524877196,12.641586102148922,101.0,0.01,50.93,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,1.4,66.7,0.601,0.01,101.0,17.24,0.0,0.0,0.0,0.0,6.51,0.38,63.98,11.89,0.0,0.0,2021-03-22,KEN,03-2021
10,70332.232,28.589,2104.411,1.065,0.67,8.879,66.277,1137.757,3.009,0.01,105.2,71.54,49.57,23.89,9397.0,0.731,71.3,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,3.18,83.51,0.892,0.731,9397.0,0.13,0.0,13.25,0.4,0.0,1.86,16.71,61.65,5.34,0.33,0.0,2021-06-14,ITA,06-2021
11,135653.391,270.451,2045.882,14.179,0.81,68.17546087855018,324.133,5815.741999999998,56.898,0.005,200.0,24.45,17.85,6.6,4014.0,0.247,67.59,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,0.247,4014.0,0.97,0.0,0.0,0.0,0.0,0.0,4.22,94.32,0.49,0.0,0.0,2021-04-19,SVK,04-2021
12,42080.237,142.665,1071.311,4.828,0.86,18.14879350080607,190.99170958560399,18.8982428525037,1.3053145661097445,0.09594154457307885,25.372003561013415,40.08,31.1,8.97,1962.0,0.083,83.33,591798.0,3.612,29.6,6.933,4.229,13767.119,0.1,258.314,12.54,7.4,42.9,3.1,71.68,0.738,0.083,1962.0,0.0,0.0,82.86,0.0,0.0,0.0,5.71,5.71,5.72,0.0,0.0,2021-07-26,SUR,07-2021
13,141831.665,152.037,862.125,1.0759999999999998,0.62,21.275,63.938,3120.745,10.21,0.015,67.2,169.9,66.88,61.45,1763.0,0.03,56.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,82.97,0.919,0.03,1763.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66,0.0,0.34,0.0,0.0,2021-10-18,ISR,10-2021
14,157455.693,32.848,794.488,0.0,0.91,20.173463254683988,0.0,3721.785,8.887,0.004,270.5,149.63,66.72,64.26,3898.0,0.019,39.35,1748295.0,1935.907,32.4,2.372,1.3869999999999998,43290.705,0.1,151.689,16.52,5.8,37.6,2.0,77.29,0.852,0.019,3898.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-10-04,BHR,10-2021
15,61395.41099999999,74.958,5752.469,5.37,0.95,0.0,128.88563483268354,133.523,0.325,0.068,14.7,22.36,13.22,9.14,2876.0,0.16399999999999998,75.93,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,27.87366621804865,1.6,76.74,0.777,0.16399999999999998,2876.0,0.0,0.0,22.34,0.0,0.0,0.0,2.09,0.0,2.71,71.61,0.0,2021-06-28,PER,06-2021
16,42449.476,491.138,707.716,7.292000000000002,1.35,50.158,311.863,569.871,3.354,0.146,6.8,0.33,0.33,2.0122367092844673,364.0,0.036000000000000004,58.33,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.8640000000000001,0.036000000000000004,364.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,25.85,73.81,0.0,0.0,2021-01-04,PRT,01-2021
17,42161.836,158.713,1098.002,5.622999999999998,0.68,35.00764817747356,255.13763981165403,205.189,1.126,0.141,7.1,29.974616617711803,17.933953779254665,12.473866819323856,2788.5415297778895,1.722,81.02,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,0.767,1.722,2871.3275895990973,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2021-02-08,COL,02-2021
