,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,date,iso_code,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,month_yr
0,28.315384345874676,14.215520482733531,13.754524725877193,243.0,0.024,69.44,24.718000000000004,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,82.8,0.945,0.024,243.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,7.85,91.96,0.0,0.0,2021-01-04,SWE,581.135,6.299,01-2021
1,24.08,17.73,6.35,8433.0,0.5579999999999999,55.09,347.778,48.2,27.049,18.493,39002.223,0.1,79.37,5.72,11.2,33.7,84.63,0.919,0.5579999999999999,8433.0,0.17,0.0,0.05,0.0,0.0,0.02,4.67,92.44,2.65,0.0,0.0,2021-06-14,JPN,13.998,0.539,06-2021
2,0.0,0.0,0.0,0.0,0.0,78.24,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,80.18,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-06-08,CHL,315.511,8.558,06-2020
3,0.27,0.12618665576290145,0.0,354.0,0.1503668903063871,92.59,594.561,31.1,8.514,5.43,13367.565,10.030677707582171,266.591,12.71,26.9,40.7,78.93,0.7440000000000001,0.15036688837042828,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.68,4.32,0.0,0.0,2021-02-22,LBN,332.306,7.386,02-2021
4,71.95,46.45,27.83,9656.0,0.509,50.46,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,83.56,0.904,0.509,9656.0,1.26,0.03,3.72,0.0,0.39,0.36,14.3,70.07,4.89,0.87,0.0,2021-06-14,ESP,104.652,0.8590000000000001,06-2021
5,19.716038072149942,10.767437077933453,8.685041457099201,113.0,0.011,44.44,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,62.05,0.496,0.011,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05,17.95,0.0,0.0,2021-03-22,GMB,13.557,0.46,03-2021
6,144.69,76.76,67.93,556.0,0.016,20.37,14.462,39.7,16.820999999999998,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,82.4,0.957,0.016,556.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91,0.09,0.0,0.0,0.0,2021-10-18,NOR,82.646,0.34,10-2021
7,34.64,24.89,9.75,6039.0,0.466,80.56,69.874,38.7,13.928,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,82.3,0.955,0.466,6039.0,0.05,0.21,0.0,2.68,0.16,0.11,3.26,88.9,4.63,0.0,0.0,2021-05-03,IRL,92.344,0.917,05-2021
8,84.6,44.91,40.61572645906374,1398.0,0.084,40.74,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,78.49,0.851,0.084,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-10-04,HRV,308.348,2.765,10-2021
9,41.20701563788427,34.72506081716264,5.81457325589929,20955.0,0.02050601873455038,80.56,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,83.51,0.892,0.02050603389742267,20955.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,4.44,95.42,0.0,0.0,2020-12-21,ITA,256.328,9.946,12-2020
10,15.285835264235331,4.9361390462619,9.113245882957367,2.0,0.0,74.07,18.22,22.6,3.808,2.142,3823.194,1.0464929839917687,561.494,17.65,23.5,48.8,64.5,0.555,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2021-04-05,PNG,32.225,0.282,04-2021
11,41.01379294800844,21.650852707590847,19.771064503488883,362.0,0.004,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,60.85,0.456,0.004,362.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2021-07-12,MOZ,42.937,0.373,07-2021
12,0.0,0.0,0.0,0.0,0.0,74.54,96.254,29.9,6.292999999999998,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,76.16,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2020-11-09,MYS,34.18,0.113,11-2020
