Entity,Code,Day,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron
Angola,AGO,2020-12-21,47,0,0,0,0,1,0,0,45,0,0,0
Angola,AGO,2021-01-25,1,0,0,0,0,0,0,3,48,0,0,0
Angola,AGO,2021-02-08,12,0,0,0,0,0,0,4,26,0,0,0
Angola,AGO,2021-02-22,16,0,0,0,0,0,0,1,22,0,0,0
Angola,AGO,2021-03-08,67,0,0,0,0,0,0,7,39,0,0,0
Angola,AGO,2021-03-22,58,0,0,1,0,1,0,12,49,0,0,0
Angola,AGO,2021-04-05,44,0,1,4,0,7,0,32,49,0,0,0
Angola,AGO,2021-04-19,29,0,0,1,0,2,2,21,28,0,0,0
Angola,AGO,2021-05-03,17,0,0,0,0,0,1,11,5,0,0,0
Angola,AGO,2021-06-28,18,0,0,0,0,0,10,30,1,0,0,0
Angola,AGO,2021-07-12,12,0,0,0,0,0,23,9,2,0,0,0
Angola,AGO,2021-09-20,0,0,0,0,0,0,57,0,0,0,0,0
Angola,AGO,2021-10-04,0,0,0,0,0,0,33,0,0,0,0,0
Argentina,ARG,2020-05-11,0,0,0,0,0,0,0,0,149,0,0,0
Argentina,ARG,2020-05-25,0,0,0,0,0,0,0,0,167,0,0,0
Argentina,ARG,2020-06-08,0,0,0,0,0,0,0,0,65,0,0,0
Argentina,ARG,2020-06-22,0,0,0,0,0,0,0,0,75,0,0,0
Argentina,ARG,2020-07-06,0,0,0,0,0,0,0,0,63,0,0,0
Argentina,ARG,2020-07-20,0,0,0,0,0,0,0,0,113,0,0,0
Argentina,ARG,2020-08-03,0,0,0,0,0,0,0,0,102,0,0,0
Argentina,ARG,2020-08-17,0,0,0,0,0,0,0,0,110,0,0,0
Argentina,ARG,2020-08-31,0,0,0,0,0,0,0,0,137,0,0,0
Argentina,ARG,2020-09-14,0,0,0,0,0,0,0,0,49,0,0,0
Argentina,ARG,2020-09-28,0,0,0,0,0,0,0,0,50,0,0,0
Argentina,ARG,2020-10-12,0,0,0,0,0,0,0,0,39,0,0,0
Argentina,ARG,2020-10-26,0,0,0,0,0,0,0,0,102,0,0,0
Argentina,ARG,2020-11-09,0,0,0,0,0,0,0,0,56,1,0,0
Argentina,ARG,2020-11-23,0,0,0,0,0,0,0,0,61,0,0,0
Argentina,ARG,2020-12-07,0,0,0,0,0,0,0,0,45,0,0,0
Argentina,ARG,2020-12-21,0,0,0,0,0,0,0,0,71,0,0,0
Argentina,ARG,2021-01-04,0,0,0,0,0,0,0,1,45,0,0,0
Argentina,ARG,2021-01-25,0,0,1,0,0,0,0,0,54,1,0,0
Argentina,ARG,2021-02-08,0,3,2,0,0,0,0,4,53,1,0,0
Argentina,ARG,2021-02-22,0,1,2,0,0,0,0,0,48,2,0,0
Argentina,ARG,2021-03-08,0,3,4,0,0,0,0,5,44,2,0,0
Argentina,ARG,2021-03-22,0,4,22,0,2,0,0,21,110,6,0,0
Argentina,ARG,2021-04-05,0,3,45,0,4,0,0,32,65,23,0,0
Argentina,ARG,2021-04-19,0,6,86,0,1,0,0,35,113,32,0,0
Argentina,ARG,2021-05-03,1,6,135,0,3,0,1,40,69,59,1,0
Argentina,ARG,2021-05-17,0,7,172,0,2,1,0,40,41,48,0,0
Argentina,ARG,2021-05-31,0,4,160,0,3,0,0,29,12,64,0,0
Argentina,ARG,2021-06-14,0,1,254,0,2,0,1,31,10,85,0,0
Argentina,ARG,2021-06-28,0,1,242,0,1,0,2,32,5,76,0,0
Argentina,ARG,2021-07-12,0,0,249,0,0,0,19,11,1,57,1,0
Argentina,ARG,2021-07-26,0,0,185,0,0,0,44,14,2,80,1,0
Argentina,ARG,2021-08-09,0,0,250,0,0,0,86,13,2,89,3,0
