iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
ABW,2021-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.66,0.325,0.0,0.0,0.0,0.0,15.96,79.055,0.0,445.7647058823529,2.170294117647059
ABW,2021-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25766.0,15600.0,10166.0,,,1278.0,24.04,14.55,9.48,,11922.0,1133.0,1.057,67.59,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,1133.0,1.057,1278.0,11922.0,,0.8,13.07,0.505,0.0,6.335,0.0,0.0,59.335,19.955,0.0,384.0,0.0
ABW,2021-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60471.0,43908.73684210526,16562.263157894737,,2030.25,1646.4333333333334,56.413157894736834,40.962105263157895,15.450000000000003,,15359.133333333333,1286.8,1.2004,62.90333333333338,107195.0,584.7999999999997,41.200000000000024,13.084999999999997,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,1286.8,1.2004,1646.4333333333334,15359.133333333333,2030.25,0.69,4.984999999999999,3.105,0.0,7.994999999999999,0.0,4.83,73.32,5.075,0.0,384.0,0.0
ABW,2021-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94752.76923076923,58620.96153846154,36131.807692307695,,1482.409090909091,1258.3225806451612,88.39269230769233,54.68653846153847,33.70615384615385,,11738.645161290322,309.38709677419354,0.28861290322580646,53.43580645161292,107195.0,584.7999999999997,41.200000000000024,13.084999999999996,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,309.38709677419354,0.28861290322580646,1258.3225806451612,11738.645161290322,1482.409090909091,0.0,0.23666666666666666,15.08,0.0,14.843333333333334,0.0,3.776666666666667,54.5,3.5033333333333334,0.23666666666666666,384.0,0.0
ABW,2021-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121331.16,65851.92,55479.24,,589.3809523809524,431.03333333333336,113.18719999999999,61.4312,51.755599999999994,,4021.0,158.93333333333334,0.1482666666666667,37.09666666666668,107195.0,584.7999999999997,41.200000000000024,13.084999999999997,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,158.93333333333334,0.1482666666666667,431.03333333333336,4021.0,589.3809523809524,0.0,0.0,39.33,0.0,13.48,0.0,4.49,5.62,0.0,1.12,384.0,0.0
ABW,2021-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133291.5,70705.625,62585.875,,450.45,359.2258064516129,124.34333333333335,65.96041666666666,58.38458333333333,,3351.1612903225805,163.96774193548387,0.15296774193548393,29.20806451612905,107195.0,584.7999999999997,41.200000000000024,13.084999999999996,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,163.96774193548387,0.15296774193548393,359.2258064516129,3351.1612903225805,450.45,0.0,0.0,2.06,0.0,0.0,0.0,86.6,1.03,0.0,0.0,384.0,0.0
ABW,2021-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143046.2,75273.84,67772.36,,308.85714285714283,338.8709677419355,133.44480000000001,70.2224,63.22400000000002,,3161.2903225806454,188.6451612903226,0.1760322580645161,36.17193548387096,107195.0,584.7999999999997,41.200000000000024,13.084999999999996,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,188.6451612903226,0.1760322580645161,338.8709677419355,3161.2903225806454,308.85714285714283,0.0,0.0,0.095,0.0,0.0,0.0,98.455,0.0,0.0,0.0,384.0,0.0
ABW,2021-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153087.0,80296.64,72790.36,,311.2173913043478,278.6666666666667,142.81159999999997,74.90719999999999,67.9056,,2599.633333333333,94.8,0.08846666666666668,25.68033333333332,107195.0,584.7999999999997,41.200000000000024,13.084999999999997,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,94.8,0.08846666666666668,278.6666666666667,2599.633333333333,311.2173913043478,0.0,0.0,0.0,0.0,0.0,0.0,99.425,0.0,0.0,0.0,384.0,0.0
ABW,2021-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157935.4347826087,82023.04347826086,75912.39130434782,,138.89473684210526,110.87096774193549,147.33478260869563,76.51782608695652,70.81652173913042,,1034.2903225806451,43.935483870967744,0.040935483870967744,30.884583333333342,107195.0,584.7999999999997,41.200000000000024,13.084999999999996,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,,,,,43.935483870967744,0.040935483870967744,110.87096774193549,1034.2903225806451,138.89473684210526,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,384.0,0.0
ABW,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160406.26666666666,83104.4,77301.86666666667,,113.18181818181819,81.15,149.64000000000001,77.526,72.11333333333333,,757.0,37.6,0.035150000000000015,,107195.0,584.8,41.20000000000001,13.085000000000004,7.452,35973.781,,,11.620000000000003,,,,,76.28999999999999,,,,,,37.6,0.035150000000000015,81.15,757.0,113.18181818181819,,,,,,,,,,,,
