,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
9,ABW,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160406.26666666666,83104.4,77301.86666666667,,113.18181818181819,81.15,149.64000000000001,77.526,72.11333333333333,,757.0,37.6,0.035150000000000015,,107195.0,584.8,41.20000000000001,13.085000000000004,7.452,35973.781,,,11.620000000000003,,,,,76.28999999999999,,,,,,37.6,0.035150000000000015,81.15,757.0,113.18181818181819,,,,,,,,,,,,
31,AFG,2021-11,156504.45,30.7,27.914349999999995,7296.35,4.15,2.3070999999999997,3928.775350000001,0.7706500000000001,0.7008500000000001,183.1622,0.1041,0.057950000000000015,0.7519999999999999,,,,,,,,,,,,,,,,,4018197.0,3530173.0,3188609.0,,,36635.0,10.09,8.86,8.0,,920.0,60035.0,0.151,,39835428.0,54.42200000000001,18.600000000000005,2.581000000000001,1.337,1803.9870000000005,,597.0290000000002,9.590000000000002,,,37.745999999999995,0.5,64.83,0.5109999999999999,,,,,60035.0,0.151,36635.0,920.0,,,,,,,,,,,,,
52,AGO,2021-11,64783.0,28.9,37.88585,1723.15,1.0,1.1714,1909.11015,0.85175,1.1164999999999998,50.77995000000001,0.02930000000000001,0.03450000000000001,0.614,,,,,,,,,,,,,,,,,7483338.25,5467126.0,2016212.25,,,97407.5,22.055000000000003,16.11,5.9425,,2870.5,71724.83333333333,0.21133333333333335,63.43,33933611.0,23.889999999999993,16.800000000000004,2.4050000000000002,1.3620000000000008,5819.494999999999,,276.045,3.939999999999999,,,26.663999999999994,,61.15,0.5809999999999997,,,,,71724.83333333333,0.21133333333333335,97407.5,2870.5,,,,,,,,,,,,,
62,AIA,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18851.333333333332,9692.666666666666,9158.666666666666,,,12.578947368421053,124.64,64.08333333333333,60.553333333333335,,831.6842105263158,12.473684210526315,0.08252631578947368,,15125.0,,,,,,,,,,,,,81.88000000000004,,,,,,12.473684210526315,0.08252631578947368,12.578947368421053,831.6842105263158,,,,,,,,,,,,,
84,ALB,2021-11,190927.0,534.4,535.37145,2977.6,5.55,5.5642499999999995,66457.1479,186.012,186.35004999999995,1036.4316999999999,1.9318000000000002,1.9366999999999996,1.094,,,,,,,,,,,,,,,,,1974567.0,1039615.6363636364,915159.7272727273,21770.8,7231.2,6344.666666666667,68.7309090909091,36.18636363636364,31.85545454545455,0.759,2208.4444444444443,2207.3333333333335,0.07683333333333332,45.94230769230769,2872934.0,104.87100000000005,38.0,13.187999999999994,8.643,11803.431000000004,1.1,304.19499999999994,10.080000000000004,7.099999999999997,51.20000000000001,,2.89,78.56999999999996,0.795,,,,,2207.3333333333335,0.07683333333333332,6344.666666666667,2208.4444444444443,7231.2,,,,,,,,,,,,
105,AND,2021-11,15772.9,28.5,24.778400000000005,130.0,0.0,0.0,203905.42184999996,368.4360499999999,320.32695,1680.5849999999996,0.0,0.0,1.573,,,,,,,,,,223843.33333333334,2893.7526666666668,,250.13333333333333,3.2335333333333334,0.08293333333333335,12.913333333333332,,,,,,,,,,,,,,43.334666666666664,77354.0,163.75500000000005,,,,,,109.13500000000002,7.970000000000001,29.0,37.79999999999999,,,83.73,0.8680000000000001,,,,,,,,,,,,,,,,,,,,,
128,ARE,2021-11,740682.2,73.25,75.0786,2141.2,0.4,0.45719999999999994,74134.32549999999,7.331550000000002,7.514649999999999,214.31099999999998,0.04,0.045800000000000014,0.849,,,,,,,,,259297.86666666667,95390196.2,9547.533,25.953066666666665,265983.0,26.622066666666665,0.0,3473.8399999999997,21329131.307692308,9739773.846153846,8746928.692307692,2842428.769230769,29373.833333333332,30400.6,213.4815384615385,97.4846153846154,87.5469230769231,28.449230769230773,3042.6666666666665,10085.333333333334,0.10086666666666667,46.39928571428571,9991083.0,112.44199999999998,34.0,1.1439999999999995,0.5259999999999999,67293.483,,317.84000000000003,17.259999999999998,1.1999999999999997,37.39999999999999,,1.1999999999999997,77.97000000000001,0.8900000000000002,,,,,10085.333333333334,0.10086666666666667,30400.6,3042.6666666666665,29373.833333333332,,,,,,,,,,,,
151,ARG,2021-11,5301926.9,1294.75,1233.9785,116183.8,21.2,20.10715,116255.48129999998,28.390049999999995,27.057450000000006,2547.5651000000003,0.4649,0.4408,1.0350000000000001,,,,,,,,,39658.333333333336,25232723.0,553.2783333333333,0.8696666666666667,37011.333333333336,0.8116666666666666,0.029,34.5,62509910.47058824,35336596.0,26973738.11764706,1100774.75,301789.78571428574,281763.05,137.06529411764703,77.4835294117647,59.146470588235296,2.415,6178.2,115942.35,0.2542,42.59000000000002,45605823.0,16.177,31.899999999999988,11.198000000000004,7.441000000000001,18933.907000000003,0.5999999999999999,191.03200000000007,5.5,16.199999999999996,27.699999999999996,,5.0,76.67000000000002,0.8450000000000001,,,,,115942.35,0.2542,281763.05,6178.2,301789.78571428574,,,,,,,,,,,,
172,ARM,2021-11,323469.6,1262.85,1432.12155,6838.75,46.25,47.342800000000004,108981.01425000001,425.47015,482.5,2304.06165,15.582249999999998,15.950399999999998,0.9719999999999999,,,,,,,,,9807.4,2210005.1764705884,744.5788235294118,3.3042,11184.78947368421,3.7683684210526316,0.13283333333333333,7.716666666666665,923530.0,645035.0,278495.0,,,8895.214285714286,31.11,21.73,9.38,,2996.8571428571427,6177.285714285715,0.20807142857142855,,2968128.0,102.93100000000001,35.7,11.232,7.571,8787.579999999998,1.8,341.0100000000001,7.110000000000001,1.5,52.10000000000001,94.04300000000005,4.200000000000001,75.08999999999999,0.7759999999999999,,,,,6177.285714285715,0.20807142857142855,8895.214285714286,2996.8571428571427,,,,,,,,,,,,,
193,ATG,2021-11,4101.2,3.85,4.2,105.5,0.3,0.32174999999999987,41540.393899999995,38.996,42.54084999999999,1068.59265,3.0386999999999995,3.25575,0.678,,,,,,,,,,,,,,,,,111558.0,58781.333333333336,52776.666666666664,,,496.125,112.99333333333334,59.53666666666666,53.45666666666667,,5025.0625,238.4375,0.2415,,98728.0,231.84499999999994,32.10000000000001,6.932999999999997,4.631,21490.94299999999,,191.511,13.169999999999993,,,,3.7999999999999985,77.02,0.7780000000000002,,,,,238.4375,0.2415,496.125,5025.0625,,,,,,,,,,,,,
