iso_date,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,year,month,day,iso_date,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Entity,iso_code_variant,date_variant,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,year_variant,month_variant,day_variant,iso_date_variant
ABW_2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW,2021-02-08,0.0,0.88,0.0,0.0,0.0,0.0,0.0,7.89,91.23,0.0,0.0,0.0,2021,2021,08,ABW_2021-02-08
ABW_2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW,2021-02-22,0.0,8.44,0.65,0.0,0.0,0.0,0.0,24.03,66.88,0.0,0.0,0.0,2021,2021,22,ABW_2021-02-22
ABW_2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW,2021-03-08,1.6,12.0,0.0,0.0,5.6,0.0,0.0,52.0,28.8,0.0,0.0,0.0,2021,2021,08,ABW_2021-03-08
ABW_2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW,2021-03-22,0.0,14.14,1.01,0.0,7.07,0.0,0.0,66.67,11.11,0.0,0.0,0.0,2021,2021,22,ABW_2021-03-22
ABW_2021-04-05,ABW,North America,Aruba,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.0,,,,,11922.0,1133.0,1.057,67.59,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,04,05,ABW_2021-04-05,1133.0,1.057,1278.0,11922.0,,Aruba,ABW,2021-04-05,0.0,6.52,0.0,0.0,9.78,0.0,0.0,80.43,3.27,0.0,0.0,0.0,2021,2021,05,ABW_2021-04-05
ABW_2021-04-19,ABW,North America,Aruba,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58178.0,43266.0,14912.0,,2527.0,2158.0,54.27,40.36,13.91,,20132.0,1732.0,1.6159999999999999,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,04,19,ABW_2021-04-19,1732.0,1.6159999999999999,2158.0,20132.0,2527.0,Aruba,ABW,2021-04-19,1.38,3.45,6.21,0.0,6.21,0.0,9.66,66.21,6.88,0.0,0.0,0.0,2021,2021,19,ABW_2021-04-19
ABW_2021-05-03,ABW,North America,Aruba,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77728.0,54614.0,23114.0,,,624.0,72.51,50.95,21.56,,5821.0,196.0,0.183,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,05,03,ABW_2021-05-03,196.0,0.183,624.0,5821.0,,Aruba,ABW,2021-05-03,0.0,0.71,10.0,0.0,19.29,0.0,1.43,61.43,5.72,0.71,0.71,0.0,2021,2021,03,ABW_2021-05-03
ABW_2021-05-17,ABW,North America,Aruba,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91006.0,57936.0,33070.0,,,1341.0,84.9,54.05,30.85,,12510.0,275.0,0.257,51.85,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,05,17,ABW_2021-05-17,275.0,0.257,1341.0,12510.0,,Aruba,ABW,2021-05-17,0.0,0.0,11.88,0.0,16.83,0.0,9.9,53.47,1.98,0.0,5.94,0.0,2021,2021,17,ABW_2021-05-17
ABW_2021-05-31,ABW,North America,Aruba,2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114154.0,63113.0,51041.0,,,628.0,106.49,58.88,47.62,,5858.0,224.0,0.209,48.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,05,31,ABW_2021-05-31,224.0,0.209,628.0,5858.0,,Aruba,ABW,2021-05-31,0.0,0.0,23.36,0.0,8.41,0.0,0.0,48.6,0.94,0.0,18.69,0.0,2021,2021,31,ABW_2021-05-31
ABW_2021-06-14,ABW,North America,Aruba,2021-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121874.0,66185.0,55689.0,,,691.0,113.69,61.74,51.95,,6446.0,286.0,0.267,33.33,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,2021,06,14,ABW_2021-06-14,286.0,0.267,691.0,6446.0,,Aruba,ABW,2021-06-14,0.0,0.0,39.33,0.0,13.48,0.0,4.49,5.62,0.0,1.12,35.96,0.0,2021,2021,14,ABW_2021-06-14
